nr,i1_legid,i1_rcs_p,i1_rcs_e,i1_dep_1_p,i1_dep_1_e,i1_dep_1_place,i1_rcf_1_p,i1_rcf_1_e,i1_rcf_1_place,i2_rcs_p,i2_rcs_e,i2_dep_1_p,i2_dep_1_e,i2_dep_1_place,i3_rcs_p,i3_rcs_e,i3_dep_1_p,i3_dep_3_e,o_legid,o_rcs_p,o_rcs_e,o_dep_1_p,o_dep_1_e,o_dep_1_place,o_rcf_1_p,o_rcf_1_e,o_rcf_1_place,o_dlv_p,o_dlv_e,o_hops,legs
1759,3655,1009,107,240,1102,815,760,488,299,391,55,240,589,128,307,136,210,0,9517,1163,604,90,589,299,820,476,700,3780,14791,2,1
1760,14506,1594,1068,90,553,485,1250,951,700,0,0,0,0,0,0,0,0,0,2484,2352,1770,90,1332,700,630,266,174,3780,22844,2,3
1761,10923,1083,137,240,1121,815,995,840,671,0,0,0,0,0,0,0,0,0,4370,2487,2115,90,395,671,795,692,700,3840,8292,1,1
1762,11563,208,183,150,122,128,895,772,134,0,0,0,0,0,0,0,0,0,10936,748,468,481,695,134,90,107,610,2880,265,2,1
1763,5728,226,37,180,327,128,749,207,614,3287,3288,300,249,468,0,0,0,0,9538,1420,1231,180,306,614,335,188,815,5400,1599,1,1
1764,11254,2279,1548,240,976,341,975,998,349,0,0,0,0,0,0,0,0,0,11166,42826,42290,270,754,349,878,786,441,1217,1147,2,2
1765,8495,1327,539,90,842,413,855,501,700,27062,26262,90,830,256,0,0,0,0,6390,530,202,90,357,700,880,541,584,3780,288,1,1
1766,10151,138,68,135,147,815,215,220,128,85,85,180,126,727,3980,3765,240,0,1687,1526,652,240,1067,128,970,698,403,3960,1266,1,2
1767,2652,987,367,300,899,144,1125,918,671,4108,1747,90,2405,700,2401,1363,240,0,13052,2184,2012,90,213,671,820,406,700,3780,167,1,3
1768,5403,863,229,150,735,610,425,230,128,0,0,0,0,0,0,0,0,0,11630,1155,20,240,1337,128,875,582,144,3960,1503,1,3
1769,3116,2223,2086,90,170,671,820,579,700,0,0,0,0,0,0,0,0,0,6237,955,177,90,833,700,845,530,628,3780,411,1,1
1770,11741,27526,23622,90,3934,815,1210,906,700,1398,376,90,1052,815,1068,712,90,0,2084,1186,756,90,459,700,795,376,671,3780,1748,1,1
1771,11989,4164,659,90,4319,128,1140,2106,441,3098,1845,90,1357,128,0,0,0,0,14607,2409,1689,1260,1920,441,400,987,579,425,10962,1,3
1772,3837,1032,82,240,1135,815,930,810,476,1421,594,90,863,700,1378,361,240,0,3167,7533,1483,90,6080,476,1510,1354,403,3780,14071,1,2
1773,13203,2411,1510,90,935,700,850,504,628,479,309,90,203,700,750,412,90,0,9949,2395,1587,150,925,628,640,711,128,4230,4352,1,3
1774,1770,849,180,240,851,456,1015,814,128,2001,345,600,2196,144,3849,1794,90,0,4325,2034,1773,180,336,233,860,667,149,6900,1170,2,3
1775,11609,9076,8686,420,795,341,970,998,349,1945,1514,300,674,698,1684,1546,270,0,9544,1056,1113,420,315,349,1259,1127,341,351,822,2,3
1776,8580,1752,1601,600,776,778,955,924,349,0,0,0,0,0,0,0,0,0,6319,1488,540,300,1193,413,970,744,128,3960,149,1,3
1777,14537,1585,935,90,676,485,1250,848,700,2989,2878,90,163,113,0,0,0,0,6393,2261,280,90,2041,700,1865,1571,281,3780,801,2,1
1778,10374,200,103,240,276,815,215,183,128,0,0,0,0,0,0,0,0,0,13819,2643,1589,90,1099,128,1225,1019,700,3780,4060,1,2
1779,13623,1361,1180,420,542,441,955,808,815,0,0,0,0,0,0,0,0,0,10629,661,630,170,141,134,495,543,349,385,1474,2,1
1780,5584,3081,1947,600,1549,778,1345,1365,349,1508,586,180,1042,628,7974,6014,90,0,3067,17437,17109,180,466,349,830,696,149,6680,14521,1,1
1781,11417,538,126,240,619,128,960,688,476,2756,722,420,2394,349,0,0,0,0,2128,11869,10054,90,3292,476,1120,816,128,3780,925,1,3
1782,656,8690,8473,300,492,431,835,532,256,2103,1865,420,607,485,1375,443,300,0,4223,767,457,240,436,256,750,384,423,3840,3360,1,2
1783,7434,2540,74,300,2722,256,895,737,308,0,0,0,0,0,0,0,0,0,2190,1721,330,375,1736,308,790,842,349,550,3109,1,3
1784,3853,42,0,180,155,103,325,326,571,817,210,240,827,815,837,253,300,0,4553,800,434,180,486,571,700,795,815,4680,2043,1,1
1785,3736,394,91,270,522,349,1100,1248,597,1250,259,300,1241,609,0,0,0,0,3919,2197,1122,90,1107,597,935,622,700,3780,70,2,3
1786,6223,3604,2145,90,1426,174,755,319,671,992,12,135,1055,815,4270,3638,90,0,12919,1739,1629,90,223,671,820,463,700,3780,11402,2,2
1787,3200,13087,8671,90,5204,476,1865,1666,700,68,104,150,70,727,37813,37466,90,0,8855,1356,759,90,642,700,695,245,561,3780,1597,2,3
1788,11437,2119,822,180,1432,206,865,746,815,505,297,245,389,609,265,107,570,0,7983,4957,4076,90,911,281,1360,4704,700,3780,100,1,3
1789,2290,1382,1382,360,300,441,695,699,349,0,0,0,0,0,0,0,0,0,13549,1096,580,150,634,349,115,149,128,4230,38002,1,3
1790,10925,122,81,240,222,815,290,203,485,0,0,0,0,0,0,0,0,0,12695,1254,947,180,440,485,885,828,149,6960,2599,2,1
1791,11908,499,135,900,1204,388,630,450,349,4409,4092,240,512,128,0,0,0,0,13418,4166,86,180,3927,144,570,890,349,807,12247,2,1
1792,14195,1279,969,90,338,299,820,621,700,4369,3830,90,591,597,3947,2989,300,0,886,454,116,240,511,476,985,974,815,5160,183,2,2
1793,323,2822,1977,150,947,456,1030,750,128,3674,2623,300,1322,789,0,0,0,0,6641,875,18,240,1053,128,785,573,472,3960,344,2,3
1794,1157,1969,1767,90,224,456,880,475,700,0,0,0,0,0,0,0,0,0,3574,972,341,90,683,700,535,137,468,3780,1351,1,2
1795,13439,181,84,150,208,485,145,505,128,1021,321,240,927,456,0,0,0,0,14146,783,0,240,1243,128,785,497,809,3960,2336,1,1
1796,6982,573,389,240,379,815,845,693,371,230,110,605,683,761,5945,4767,300,0,6988,1770,1595,300,467,371,1015,896,308,1620,3186,1,2
1797,12324,728,181,150,645,281,155,194,128,0,0,0,0,0,0,0,0,0,1060,14312,14188,240,328,128,825,613,609,3960,185,2,3
1798,826,655,485,150,290,485,390,207,128,825,270,150,652,610,1641,541,150,0,6688,2203,1400,240,1009,128,880,652,144,3960,7066,1,1
1799,2726,2445,1967,90,516,485,1240,955,700,4090,3987,90,130,113,0,0,0,0,6492,1722,384,90,1369,700,805,559,206,3780,660,1,3
1800,9873,182,51,135,223,815,290,297,485,0,0,0,0,0,0,0,0,0,12688,1071,768,180,439,485,885,715,149,6680,744,1,2
1801,1807,4475,4380,300,351,690,810,628,555,8680,8589,300,343,690,1936,2073,300,400,8198,14435,14069,300,765,555,760,581,371,1560,170,1,1
1802,4412,1980,1826,90,173,671,800,456,700,0,0,0,0,0,0,0,0,0,7501,130,85,300,296,308,780,688,485,1140,730,1,3
1803,9341,658,507,90,337,456,1035,715,700,2644,833,90,396,485,1515,1386,90,0,5094,989,531,90,501,700,625,205,174,3780,4872,1,1
1804,4714,1075,85,240,1189,815,1020,861,671,25,53,300,237,476,4243,3426,90,0,3058,1576,1475,90,130,671,820,542,700,3780,10251,1,3
1805,3368,90,90,90,46,579,1010,575,128,1497,416,300,1326,753,0,0,0,0,4369,14252,13472,240,993,128,1045,760,561,3960,1994,2,3
1806,453,2372,1521,240,1038,789,1040,935,128,0,0,0,0,0,0,0,0,0,5169,106,86,180,135,770,265,146,815,5220,90,1,2
1807,11767,37993,37161,90,879,815,1210,1104,700,0,0,0,0,0,0,0,0,0,2898,143,0,390,494,257,1140,1059,571,1665,1300,2,1
1808,287,2524,1602,150,1021,456,1030,776,128,1840,1135,300,971,671,2759,1613,150,0,198,415,835,640,164,667,415,308,555,3060,3119,3,1
1809,8390,160,164,210,146,663,255,142,815,1756,1452,150,394,349,0,0,0,0,13619,900,692,240,397,752,585,1599,128,3960,704,2,3
1810,11091,1459,1522,240,125,233,1590,1136,128,1557,1393,150,265,413,0,0,0,0,176,710,705,300,258,667,835,279,555,3060,20,1,2
1811,11465,1427,864,90,598,257,575,206,700,3839,1741,90,2275,308,0,0,0,0,7756,34792,33483,90,1380,233,1365,1256,700,3780,50,2,2
1812,1123,734,315,240,608,770,385,132,128,1280,1189,240,293,403,185,0,240,0,3415,1760,1421,610,913,809,455,275,555,3060,6776,1,2
1813,12510,743,280,330,741,233,1000,879,815,0,0,0,0,0,0,0,0,0,2037,616,409,240,428,371,995,1300,128,3960,1515,2,3
1814,7812,1589,978,90,643,485,1240,895,700,0,0,0,0,0,0,0,0,0,2124,470,132,90,371,700,880,448,584,3780,359,2,1
1815,3835,1357,411,90,976,281,1200,815,700,1626,1027,90,627,485,0,0,0,0,3619,1269,565,90,843,700,695,233,561,3780,11464,1,1
1816,7140,10317,9777,180,692,485,945,761,149,0,0,0,0,0,0,0,0,0,13146,164,311,390,249,257,1175,1081,349,473,72,1,2
1817,3882,2733,1113,180,1710,452,830,1766,149,3736,2762,300,1234,789,1516,70,180,0,11190,1347,226,420,1491,349,840,732,520,350,342,2,1
1818,8191,954,898,150,176,349,50,59,815,0,0,0,0,0,0,0,0,0,11473,1566,1222,150,447,787,165,155,128,4230,50,1,3
1819,241,4293,1975,90,2350,485,1250,1078,700,0,0,0,0,0,0,0,0,0,14298,4439,3653,90,833,700,610,170,240,3780,4281,2,1
1820,8776,1144,169,90,1005,815,1220,981,700,0,0,0,0,0,0,0,0,0,8844,5637,5043,90,945,700,915,295,538,3780,2496,1,1
1821,7402,6477,6060,240,615,366,390,167,128,269,17,240,448,398,1042,57,240,0,13020,2357,2058,90,491,671,815,447,700,3780,1203,1,1
1822,3640,4797,4521,90,338,700,1285,1031,256,537,335,150,312,485,5660,5363,90,0,4120,638,118,240,646,256,750,384,423,3840,1816,2,3
1823,7623,1521,1351,90,239,413,860,498,700,1790,924,90,898,485,4276,4135,90,0,8849,73,0,90,97,700,625,207,174,3780,1295,1,3
1824,11599,2571,506,240,2264,128,785,552,809,16225,15840,240,587,128,910,0,240,0,11691,2758,2713,240,288,809,740,579,128,3960,7911,1,3
1825,11230,3066,0,180,3182,206,835,779,815,1306,768,90,568,299,0,0,0,0,7915,6712,4539,90,2657,281,1360,1148,700,3780,31,2,3
1826,2928,136,0,240,310,815,285,338,485,72,66,240,232,815,0,0,0,0,13512,728,565,90,220,485,1250,880,700,3780,1275,1,2
1827,547,610,400,180,330,151,660,258,308,462,224,120,248,236,723,121,240,0,284,15,122,420,253,524,320,180,815,5760,5281,2,2
1828,2779,125,109,150,127,166,165,128,128,0,0,0,0,0,0,0,0,0,12187,2799,1801,90,1031,128,1230,840,700,3780,56333,2,3
1829,3713,1064,57,240,1190,815,1020,863,671,0,0,0,0,0,0,0,0,0,4533,4220,4088,90,190,671,800,407,700,3780,997,2,1
1830,3659,69,43,135,103,815,290,156,485,195,141,300,319,308,0,0,0,0,3426,2018,930,150,1222,485,1685,1424,742,2520,53,2,1
1831,455,2368,1535,240,1041,789,1040,761,128,1707,611,240,1269,649,0,0,0,0,6149,1247,1059,90,219,485,1250,973,700,3780,0,1,2
1832,7652,98,38,750,940,548,855,1144,349,836,362,360,761,700,4737,4568,240,0,678,2887,399,90,2538,349,1340,1042,700,3780,526,1,2
1833,2966,2537,161,240,2561,815,995,820,671,0,0,0,0,0,0,0,0,0,4522,2508,2326,90,242,671,795,565,700,3780,928,1,3
1834,11818,1200,367,300,1097,256,910,803,308,24514,22092,90,2448,233,4784,634,90,0,7544,2595,172,300,2781,308,805,657,256,4020,5954,2,1
1835,14229,2247,1693,960,1476,609,955,703,349,2806,2459,240,628,809,0,0,0,0,1230,655,526,150,179,556,780,640,610,3960,1528,1,3
1836,2443,220,38,570,692,391,80,92,281,206,151,270,255,216,1371,925,90,0,12395,183,130,270,263,281,640,142,134,3690,3465,2,2
1837,11620,264,178,150,180,128,120,129,727,285,87,155,303,134,1525,351,540,0,2889,170,117,120,115,727,125,155,101,2880,5496,1,3
1838,4363,1083,303,240,976,815,760,457,299,0,0,0,0,0,0,0,0,0,14189,1764,1467,90,330,299,820,526,700,3780,2521,1,3
1839,6312,1653,1022,90,866,485,1250,947,700,785,613,90,200,456,0,0,0,0,2103,794,498,90,377,700,1865,1346,431,3780,1392,2,1
1840,12312,3670,898,180,2832,388,300,761,261,728,268,900,1265,388,0,0,0,0,9967,2380,1900,300,755,628,910,822,128,3960,329,1,2
1841,11224,1767,1226,240,721,727,2130,1874,349,1825,1890,90,3010,476,1927,1666,90,0,8953,443,216,90,256,700,795,402,671,3780,1890,2,2
1842,11892,315,211,300,364,609,735,520,281,153,15,150,256,128,0,0,0,0,7967,2046,238,90,1814,281,1365,1184,700,3780,2147,1,3
1843,14044,475,179,480,687,476,720,729,349,1880,1656,180,344,555,0,0,0,0,11549,34962,34329,420,983,349,790,449,484,1315,1731,1,2
1844,13657,501,113,240,587,128,960,645,476,0,0,0,0,0,0,0,0,0,8271,26110,25793,90,359,476,1540,1111,403,3780,29,1,2
1845,3245,852,169,240,869,456,1015,1291,128,6505,6304,240,408,548,0,0,0,0,11366,209,17,240,412,128,780,551,809,3960,709,1,1
1846,10549,193,109,135,161,815,285,173,485,217,81,135,214,815,218,16,135,0,13269,1232,560,90,731,485,1250,930,700,3780,0,1,2
1847,7629,450,14,180,568,695,565,434,555,264,215,300,349,555,0,0,0,0,970,1810,1820,300,250,341,820,715,555,1560,7700,1,3
1848,655,1534,390,90,1164,140,1255,922,700,0,0,0,0,0,0,0,0,0,1358,1511,462,555,1525,700,1235,1299,349,550,2454,1,2
1849,4413,240,156,240,273,815,215,137,128,2792,2681,240,458,411,0,0,0,0,11567,131,13,150,215,128,140,281,610,4230,89,1,1
1850,11581,442,29,420,801,349,850,683,694,0,0,0,0,0,0,0,0,0,10505,129,0,120,187,694,945,626,485,720,157,1,2
1851,10514,224,57,240,358,815,630,621,216,1255,16,240,1426,815,0,0,0,0,4981,432,65,270,580,216,735,636,815,5160,468,1,1
1852,10283,585,208,180,638,485,145,171,281,1379,99,715,1875,778,158,153,150,0,12323,897,561,240,524,281,395,237,128,3960,11226,2,2
1853,1180,2898,1930,90,990,456,880,513,700,1902,1372,90,554,700,0,0,0,0,13709,1573,486,180,1207,411,935,5300,317,660,733,2,3
1854,403,265,175,300,453,371,750,709,555,1124,88,240,1231,815,0,0,0,0,5578,2006,400,540,2076,609,845,548,349,417,574,1,2
1855,4923,1419,1059,300,596,609,820,730,815,0,0,0,0,0,0,0,0,0,8899,3292,3412,180,19,576,830,696,149,6960,2629,2,2
1856,4741,804,37,240,943,815,740,554,206,791,712,180,262,671,1028,877,180,0,7724,3726,2226,90,1540,206,805,657,700,3780,581,2,1
1857,417,1305,365,180,1060,597,1055,1032,815,2462,1680,300,1063,789,0,0,0,0,7788,6635,5818,90,832,233,1385,1263,700,3780,219,2,3
1858,7346,1250,1076,120,473,520,990,1247,349,0,0,0,0,0,0,0,0,0,3338,597,286,180,460,349,830,1065,149,6680,326,2,2
1859,5026,1207,292,180,1035,597,1050,897,815,530,597,240,113,530,280,108,150,0,10295,2332,2136,300,449,524,775,1027,144,4080,49,1,1
1860,6157,1676,875,90,828,485,1250,875,700,7199,6178,90,1050,128,1475,161,90,0,6099,4449,3131,90,1348,700,860,441,413,3780,585,1,3
1861,13408,490,205,300,548,216,640,488,485,254,236,240,210,609,133,70,135,0,14370,1214,866,90,398,485,1250,887,700,3780,168,1,3
1862,8517,8543,7576,90,1007,256,1240,938,700,8657,8512,90,166,113,0,0,0,0,3548,1986,1469,90,562,700,1240,900,281,3780,54,1,3
1863,3975,369,115,240,486,815,215,147,128,618,20,150,709,361,0,0,0,0,6546,115,31,240,296,128,960,671,597,3960,132,1,2
1864,2795,176,191,150,74,166,130,169,128,0,0,0,0,0,0,0,0,0,2417,3129,2719,90,440,411,1940,1739,700,3780,105,1,2
1865,7923,3212,1501,90,1664,281,1365,1200,700,125,57,240,269,128,0,0,0,0,5052,926,55,180,991,597,1050,998,815,5460,1377,1,1
1866,12882,1187,852,90,360,671,815,566,700,0,0,0,0,0,0,0,0,0,13530,8670,8778,300,326,476,1005,855,671,1200,525,2,2
1867,14090,15,25,480,370,476,720,696,349,9081,8693,420,793,341,0,0,0,0,359,2874,595,90,2300,349,1195,1005,700,3780,1174,1,1
1868,7440,1430,559,300,1116,256,760,932,431,482,246,240,414,152,719,147,240,0,4871,293,155,300,391,431,775,693,815,5100,12298,2,2
1869,12384,59,46,150,102,281,130,150,134,175,94,150,241,391,232,42,240,0,5740,841,387,150,564,134,165,244,128,4230,2629,2,3
1870,3783,1124,59,240,1250,815,760,723,609,1095,26,240,1261,815,0,0,0,0,2166,305,276,300,305,609,665,493,326,4020,299,2,3
1871,6631,2238,1696,180,672,628,670,732,349,840,587,90,282,700,289,289,240,0,1224,2956,2807,780,1114,349,1382,733,441,713,851,1,2
1872,2374,6831,5550,90,1311,476,1095,950,128,160,68,240,275,815,0,0,0,0,3740,770,133,180,761,128,265,195,815,4740,1357,1,3
1873,14534,1183,730,90,516,485,1250,998,700,0,0,0,0,0,0,0,0,0,6594,4247,3546,90,733,700,585,103,257,3780,11542,2,2
1874,14177,2141,38,90,2131,299,825,468,700,0,0,0,0,0,0,0,0,0,929,325,138,300,422,476,985,725,815,6060,10410,1,1
1875,8280,1790,1440,90,370,476,1540,1145,403,240,188,240,251,128,1689,540,240,0,7958,3179,612,90,2599,403,700,368,700,3780,600,2,1
1876,1498,1270,280,90,1020,815,1210,973,700,1840,1425,90,446,431,26096,25665,90,0,6495,1098,696,90,433,700,625,257,174,3780,2007,2,3
1877,9929,129,75,150,144,281,110,92,815,275,160,120,125,236,2527,1444,180,0,2249,909,782,240,326,752,585,1578,128,3660,1983,1,3
1878,10620,297,83,240,418,815,295,275,527,788,66,135,800,815,115,57,135,0,6184,1213,673,180,690,527,895,822,149,6900,10091,2,3
1879,5546,1438,1303,240,333,476,915,878,128,1664,1179,180,643,695,0,0,0,0,13565,703,162,420,1390,349,1410,1198,548,320,2729,2,3
1880,2422,159,200,300,34,216,690,1047,798,0,0,0,0,0,0,0,0,0,9490,1035,487,420,924,349,942,781,308,318,173,1,2
1881,353,1843,65,300,2030,698,895,921,349,324,0,180,467,144,1304,664,120,0,13288,17944,17787,150,377,349,380,1178,317,660,649,1,1
1882,6440,436,35,240,598,296,845,628,128,131,46,135,157,815,323,225,150,0,12673,1893,1089,90,944,128,1415,1259,700,3780,866,1,3
1883,10833,907,199,90,742,700,795,402,671,0,0,0,0,0,0,0,0,0,901,2358,2153,90,260,671,795,499,700,3780,5817,2,3
1884,461,850,0,240,1124,789,1040,745,128,1931,2212,240,0,371,2730,2772,300,0,13481,14281,13325,90,1071,128,865,384,699,3780,133,2,1
1885,3595,1329,1200,240,319,815,260,173,610,164,147,150,119,128,0,0,0,0,5405,841,208,150,734,610,425,230,128,4230,18912,1,3
1886,13285,1366,1007,150,451,377,280,205,485,0,0,0,0,0,0,0,0,0,6787,6352,3200,90,3182,485,1630,1468,700,3780,1690,2,2
1887,9099,805,40,150,857,727,150,164,128,0,0,0,0,0,0,0,0,0,11879,10279,9131,90,1273,128,1590,1133,700,3780,209,1,1
1888,2257,2847,2600,180,389,411,675,642,128,677,439,150,354,700,1940,1317,90,0,14088,1283,1030,240,461,128,920,628,694,3960,6119,2,1
1889,8598,123,121,150,95,485,495,296,256,0,0,0,0,0,0,0,0,0,14527,723,496,240,432,256,845,340,423,3720,469,1,3
1890,7272,3189,2132,180,1217,485,885,560,149,0,0,0,0,0,0,0,0,0,13552,267,0,120,336,520,760,725,349,385,570,1,1
1891,3176,3637,1422,90,2264,308,1040,690,233,0,0,0,0,0,0,0,0,0,7167,7348,5096,90,2283,233,1035,533,609,3780,11573,1,1
1892,6819,2318,1609,90,734,700,625,216,174,2643,162,90,2509,815,1301,816,90,0,5701,4027,2725,90,1345,174,625,277,700,3780,104,1,1
1893,1342,840,624,360,730,485,870,740,308,0,0,0,0,0,0,0,0,0,13713,215,66,300,406,308,795,805,485,1140,1205,2,3
1894,14579,1815,144,240,1848,456,1140,1142,349,320,165,180,277,468,1834,1498,230,0,1306,7177,1407,90,5837,349,1195,875,700,3780,5204,1,1
1895,5587,1441,1358,240,306,411,850,886,128,218,165,150,141,308,0,0,0,0,12740,1746,520,90,1242,128,1415,1364,700,3840,860,2,3
1896,10239,782,245,150,637,721,115,202,128,0,0,0,0,0,0,0,0,0,7483,15192,14698,90,543,403,700,432,700,3780,1080,1,2
1897,6756,397,308,150,243,128,635,544,413,1185,51,165,1184,281,597,53,180,0,9548,4031,4115,330,186,413,730,767,349,550,1077,2,1
1898,10990,162,78,135,173,815,290,234,485,66,21,135,127,815,234,137,135,0,13427,1411,782,180,819,485,205,130,128,4140,1121,1,3
1899,11330,210,102,300,379,798,695,476,485,0,0,0,0,0,0,0,0,0,13275,1523,1002,90,569,485,1250,884,700,3780,1106,2,3
1900,11887,630,201,180,541,485,205,243,134,4930,4466,240,671,441,689,133,240,0,13323,1268,73,240,1382,134,325,193,815,6990,35748,2,1
1901,13347,1917,252,240,1888,441,970,804,128,1535,1392,240,343,753,0,0,0,0,4127,691,263,210,579,233,255,149,815,5160,8030,2,3
1902,2849,1195,927,180,439,671,930,941,349,189,201,300,228,216,463,428,300,0,376,10088,7668,90,2487,349,1195,898,700,3780,60,2,2
1903,8983,1674,1520,90,183,441,1105,816,700,505,72,510,883,349,1537,484,90,0,1301,1366,1294,300,324,753,1320,1572,128,3960,491,2,3
1904,10701,1370,161,240,1392,815,780,745,609,1000,775,360,540,485,1076,75,240,0,12079,65,481,1620,1139,609,560,655,134,3675,1672,2,3
1905,8968,1892,1626,90,299,700,1315,1127,256,10033,11391,180,325,201,4550,328,260,0,3312,14167,13288,90,919,256,1240,1001,700,3780,824,1,3
1906,9135,789,175,150,715,727,120,144,128,653,485,90,198,671,1204,773,90,0,2378,1342,703,90,671,700,535,146,468,3780,7187,2,3
1907,8273,16031,15737,90,311,476,1540,1220,403,0,0,0,0,0,0,0,0,0,5532,26801,26190,90,634,403,700,481,700,3780,1087,1,3
1908,13967,11564,11283,240,478,128,1045,684,561,0,0,0,0,0,0,0,0,0,7794,550,410,90,201,561,690,389,700,3780,1901,2,1
1909,1447,1292,292,90,1047,815,1210,1091,700,1483,467,90,1046,815,0,0,0,0,13107,4722,3058,90,1693,700,905,505,597,3840,3431,2,1
1910,7296,1277,52,165,1295,281,825,564,413,1292,50,165,1292,281,1800,41,165,0,7280,3314,3263,240,219,413,1065,1110,349,550,5194,1,2
1911,13612,3010,1655,300,1636,308,780,691,485,241,53,135,276,815,73,16,240,0,9799,490,364,180,247,485,140,164,281,2880,83,1,3
1912,2797,80,66,150,103,166,160,169,128,234,313,240,108,610,0,0,0,0,3735,405,415,180,115,128,260,220,815,4740,1355,1,3
1913,3120,3758,3426,90,705,671,815,524,700,1475,1490,300,287,371,3822,3691,90,0,7530,675,288,300,676,308,405,401,555,2745,3004,2,2
1914,2806,833,130,180,833,166,225,162,128,0,0,0,0,0,0,0,0,0,13812,1342,56,90,1321,128,1225,1013,700,3780,21,2,3
1915,10089,548,148,120,410,236,90,98,815,1375,402,300,1232,308,1481,1330,240,0,1329,1857,882,150,1079,524,185,188,128,4230,1810,1,1
1916,4183,1787,1388,240,596,548,920,826,128,0,0,0,0,0,0,0,0,0,1887,759,106,240,850,128,895,685,800,3960,59,2,3
1917,13270,1296,624,90,710,485,1250,952,700,2963,1839,90,1164,815,545,354,90,0,12773,748,241,360,807,700,990,1017,349,550,1494,1,1
1918,4571,3571,3229,90,371,671,795,654,700,1220,1424,300,76,256,12725,12571,360,0,8039,191,123,150,164,308,620,630,128,4200,619,1,3
1919,2913,204,14,90,223,579,995,707,128,630,29,240,799,815,0,0,0,0,11615,1038,152,240,1094,128,930,585,317,3780,30,1,3
1920,14058,1798,1458,180,458,257,970,791,149,708,476,240,412,187,0,0,0,0,2513,1005,548,180,601,349,615,638,809,4140,684,1,2
1921,13687,511,71,240,656,128,895,652,800,99,46,150,161,366,822,315,150,0,1197,1380,1427,300,225,800,965,793,403,4080,950,1,2
1922,12446,405,30,695,1014,281,255,324,524,1105,164,180,1061,597,0,0,0,0,296,1046,135,300,1151,524,315,200,815,5160,796,1,3
1923,457,4267,3169,240,1313,789,1040,1285,128,2496,1923,180,720,423,0,0,0,0,14626,22,50,180,92,128,265,122,815,5100,137,2,2
1924,8237,1871,1699,90,250,413,860,529,700,1043,159,90,917,403,0,0,0,0,9224,1143,460,90,711,700,625,207,174,3780,4705,2,2
1925,4398,2806,999,180,1927,233,860,868,149,389,172,180,337,349,0,0,0,0,7717,940,186,180,895,149,610,458,349,6960,5079,1,2
1926,12799,1364,638,330,1006,349,5001,996,778,2915,743,420,2619,349,1363,756,330,0,9025,1247,1194,780,897,778,1350,1238,349,550,14785,1,2
1927,10527,1068,75,240,1178,815,930,800,476,0,0,0,0,0,0,0,0,0,7541,475,72,90,433,476,1850,2064,700,3780,773,1,3
1928,3729,95,60,180,170,128,260,115,815,6334,5887,420,825,341,0,0,0,0,12241,276,204,180,192,388,600,432,349,473,442,1,1
1929,119,293,163,270,342,216,735,489,815,60,31,180,149,256,145,179,180,0,556,360,267,150,183,610,630,682,281,2880,1176,2,2
1930,11266,1109,607,240,684,485,350,161,281,452,117,240,508,476,0,0,0,0,3828,1305,417,90,925,281,1200,1013,700,3780,132,2,3
1931,10692,1383,152,240,1454,815,760,674,609,2128,1908,180,342,206,1384,1068,240,0,94,294,282,300,246,609,820,684,815,5400,349,2,2
1932,7670,928,72,240,1075,789,1040,1540,128,5720,5613,300,365,609,673,77,240,0,12545,1125,640,150,589,527,120,185,815,5760,2889,2,3
1933,6233,1173,801,90,431,485,1240,966,700,0,0,0,0,0,0,0,0,0,3672,1412,835,90,639,700,695,212,561,3780,8679,2,3
1934,4673,1035,111,240,1118,815,1020,865,671,0,0,0,0,0,0,0,0,0,12867,2181,1972,90,266,671,820,492,700,3780,29340,1,1
1935,12467,90,20,150,163,281,130,196,134,0,0,0,0,0,0,0,0,0,11007,150,191,155,59,134,100,175,281,2880,0,2,1
1936,5859,380,141,540,734,548,395,171,308,905,807,360,413,485,0,0,0,0,7493,1310,230,300,1336,308,805,642,256,2940,327,1,1
1937,2304,1126,516,90,641,700,625,232,174,0,0,0,0,0,0,0,0,0,3380,517,211,180,397,174,1280,1397,349,1175,1473,1,2
1938,7663,1249,420,90,907,413,855,459,700,149,0,240,346,128,0,0,0,0,3429,4342,2752,90,1678,700,1080,671,699,3780,10363,2,1
1939,13391,119,92,180,169,485,205,91,128,310,115,570,283,233,0,0,0,0,11878,1808,1005,90,943,128,1415,1273,700,3780,866,1,2
1940,7635,454,222,150,332,815,125,106,128,0,0,0,0,0,0,0,0,0,221,295,635,600,211,667,420,243,555,2740,4347,2,2
1941,2969,153,53,240,310,815,215,153,128,71,0,90,135,579,0,0,0,0,1851,1490,423,240,1263,128,1035,781,403,3960,1103,2,1
1942,10500,1698,88,240,1802,815,630,536,216,1201,982,240,399,815,1719,301,240,0,681,1070,302,300,1027,216,315,208,431,2595,1032,1,2
1943,3207,425,355,300,323,690,1025,716,308,1081,14,240,1269,815,420,206,180,0,11820,450,240,245,406,609,525,606,281,2880,210,2,3
1944,9206,349,260,90,203,700,850,408,628,1214,279,150,1030,391,0,0,0,0,6638,4997,4444,180,663,628,1015,1008,349,550,1744,1,3
1945,11108,655,183,240,670,815,285,193,153,122,80,150,149,166,143,33,240,0,3174,2418,1902,300,756,153,285,239,815,5100,7901,1,2
1946,9818,770,15,240,936,815,300,289,527,4493,4366,1500,1587,371,0,0,0,0,9708,37184,35082,90,2211,527,1365,1065,700,3780,410,2,3
